label,stem_a,stem_b,func_a,func_b,gmn_score
1,ioctl,ioctl,curl_ioctl,wget_ioctl,-0.0
1,realloc,realloc,curl_realloc,wget_realloc,-0.0
1,fileno,fileno,curl_fileno,wget_fileno,-0.0
1,ioctl,ioctl,curl_ioctl,wget_ioctl,-0.0
1,fwrite,fwrite,curl_fwrite,wget_fwrite,-0.0
1,memmove,memmove,curl_memmove,wget_memmove,-0.0
1,strcasecmp,strcasecmp,curl_strcasecmp,wget_strcasecmp,-0.0
1,time,time,curl_time,wget_time,-0.0
1,memchr,memchr,curl_memchr,wget_memchr,-0.0
1,fopen,fopen,curl_fopen,wget_fopen,-0.0
1,fileno,fileno,curl_fileno,wget_fileno,-0.0
1,strcpy,strcpy,curl_strcpy,wget_strcpy,-0.0
1,fwrite,fwrite,curl_fwrite,wget_fwrite,-0.0
1,malloc,malloc,curl_malloc,wget_malloc,-0.0
1,freopen,freopen,curl_freopen,wget_freopen,-0.0
1,free,free,curl_free,wget_free,-0.0
1,strcpy,strcpy,curl_strcpy,wget_strcpy,-0.0
1,setlocale,setlocale,curl_setlocale,wget_setlocale,-0.0
1,feof,feof,curl_feof,wget_feof,-0.0
1,strerror,strerror,curl_strerror,wget_strerror,-0.0
1,getenv,getenv,curl_getenv,wget_getenv,-0.0
1,lseek,lseek,curl_lseek,wget_lseek,-0.0
1,pipe,pipe,curl_pipe,wget_pipe,-0.0
1,isatty,isatty,curl_isatty,wget_isatty,-0.0
1,isatty,isatty,curl_isatty,wget_isatty,-0.0
1,strrchr,strrchr,curl_strrchr,wget_strrchr,-0.0
1,strtok,strtok,curl_strtok,wget_strtok,-0.0
1,strncmp,strncmp,curl_strncmp,wget_strncmp,-0.0
1,fputs,fputs,curl_fputs,wget_fputs,-0.0
1,strncmp,strncmp,curl_strncmp,wget_strncmp,-0.0
1,stat,stat,curl_stat,wget_stat,-0.0
1,ioctl,ioctl,curl_ioctl,wget_ioctl,-0.0
1,fstat,fstat,curl_fstat,wget_fstat,-0.0
1,fileno,fileno,curl_fileno,wget_fileno,-0.0
1,fopen,fopen,curl_fopen,wget_fopen,-0.0
1,fstat,fstat,curl_fstat,wget_fstat,-0.0
1,malloc,malloc,curl_malloc,wget_malloc,-0.0
1,getpwuid,getpwuid,curl_getpwuid,wget_getpwuid,-0.0
1,select,select,curl_select,wget_select,-0.0
1,strtok,strtok,curl_strtok,wget_strtok,-0.0
1,strtok,strtok,curl_strtok,wget_strtok,-0.0
1,localtime,localtime,curl_localtime,wget_localtime,-0.0
1,signal,signal,curl_signal,wget_signal,-0.0
1,fwrite,fwrite,curl_fwrite,wget_fwrite,-0.0
1,inflateEnd,inflateEnd,curl_inflateEnd,wget_inflateEnd,-0.0
1,unlink,unlink,curl_unlink,wget_unlink,-0.0
1,memcpy,memcpy,curl_memcpy,wget_memcpy,-0.0
1,fclose,fclose,curl_fclose,wget_fclose,-0.0
1,inflateInit2_,inflateInit2_,curl_inflateInit2_,wget_inflateInit2_,-0.0
1,realloc,realloc,curl_realloc,wget_realloc,-0.0
1,strpbrk,strpbrk,curl_strpbrk,wget_strpbrk,-0.0
1,realloc,realloc,curl_realloc,wget_realloc,-0.0
1,fflush,fflush,curl_fflush,wget_fflush,-0.0
1,malloc,malloc,curl_malloc,wget_malloc,-0.0
1,mkdir,mkdir,curl_mkdir,wget_mkdir,-0.0
1,strcpy,strcpy,curl_strcpy,wget_strcpy,-0.0
1,inflateInit2_,inflateInit2_,curl_inflateInit2_,wget_inflateInit2_,-0.0
1,memmove,memmove,curl_memmove,wget_memmove,-0.0
