label,stem_a,stem_b,func_a,func_b,gmn_score
1,getc,getc,curl_getc,wget_getc,-0.0
1,getc,getc,curl_getc,wget_getc,-0.0
1,inflateEnd,inflateEnd,curl_inflateEnd,wget_inflateEnd,-0.0
1,fsetxattr,fsetxattr,curl_fsetxattr,wget_fsetxattr,-0.0
1,strtok,strtok,curl_strtok,wget_strtok,-0.0
1,fsetxattr,fsetxattr,curl_fsetxattr,wget_fsetxattr,-0.0
1,strtok,strtok,curl_strtok,wget_strtok,-0.0
1,ftruncate,ftruncate,curl_ftruncate,wget_ftruncate,-0.0
1,getc,getc,curl_getc,wget_getc,-0.0
1,getc,getc,curl_getc,wget_getc,-0.0
1,inflate,inflate,curl_inflate,wget_inflate,-0.0
1,inflateInit2_,inflateInit2_,curl_inflateInit2_,wget_inflateInit2_,-0.0
1,fsetxattr,fsetxattr,curl_fsetxattr,wget_fsetxattr,-0.0
1,ftruncate,ftruncate,curl_ftruncate,wget_ftruncate,-0.0
1,getc,getc,curl_getc,wget_getc,-0.0
1,freopen,freopen,curl_freopen,wget_freopen,-0.0
1,freopen,freopen,curl_freopen,wget_freopen,-0.0
1,fsetxattr,fsetxattr,curl_fsetxattr,wget_fsetxattr,-0.0
1,inflateInit2_,inflateInit2_,curl_inflateInit2_,wget_inflateInit2_,-0.0
1,ftruncate,ftruncate,curl_ftruncate,wget_ftruncate,-0.0
1,inflate,inflate,curl_inflate,wget_inflate,-0.0
1,getc,getc,curl_getc,wget_getc,-0.0
1,inflateInit2_,inflateInit2_,curl_inflateInit2_,wget_inflateInit2_,-0.0
1,freopen,freopen,curl_freopen,wget_freopen,-0.0
1,strtok,strtok,curl_strtok,wget_strtok,-0.0
1,getc,getc,curl_getc,wget_getc,-0.0
1,freopen,freopen,curl_freopen,wget_freopen,-0.0
1,getc,getc,curl_getc,wget_getc,-0.0
1,freopen,freopen,curl_freopen,wget_freopen,-0.0
1,inflateInit2_,inflateInit2_,curl_inflateInit2_,wget_inflateInit2_,-0.0
1,getc,getc,curl_getc,wget_getc,-0.0
1,ftruncate,ftruncate,curl_ftruncate,wget_ftruncate,-0.0
1,inflateEnd,inflateEnd,curl_inflateEnd,wget_inflateEnd,-0.0
1,inflateInit2_,inflateInit2_,curl_inflateInit2_,wget_inflateInit2_,-0.0
1,ftruncate,ftruncate,curl_ftruncate,wget_ftruncate,-0.0
1,strtok,strtok,curl_strtok,wget_strtok,-0.0
1,strtok,strtok,curl_strtok,wget_strtok,-0.0
1,freopen,freopen,curl_freopen,wget_freopen,-0.0
1,freopen,freopen,curl_freopen,wget_freopen,-0.0
1,inflateInit2_,inflateInit2_,curl_inflateInit2_,wget_inflateInit2_,-0.0
1,fsetxattr,fsetxattr,curl_fsetxattr,wget_fsetxattr,-0.0
1,fsetxattr,fsetxattr,curl_fsetxattr,wget_fsetxattr,-0.0
1,ftruncate,ftruncate,curl_ftruncate,wget_ftruncate,-0.0
1,ftruncate,ftruncate,curl_ftruncate,wget_ftruncate,-0.0
1,freopen,freopen,curl_freopen,wget_freopen,-0.0
1,ftruncate,ftruncate,curl_ftruncate,wget_ftruncate,-0.0
1,inflateInit2_,inflateInit2_,curl_inflateInit2_,wget_inflateInit2_,-0.0
1,getc,getc,curl_getc,wget_getc,-0.0
1,getc,getc,curl_getc,wget_getc,-0.0
1,strtok,strtok,curl_strtok,wget_strtok,-0.0
1,inflate,inflate,curl_inflate,wget_inflate,-0.0
1,inflateEnd,inflateEnd,curl_inflateEnd,wget_inflateEnd,-0.0
1,getc,getc,curl_getc,wget_getc,-0.0
1,inflateInit2_,inflateInit2_,curl_inflateInit2_,wget_inflateInit2_,-0.0
1,inflateInit2_,inflateInit2_,curl_inflateInit2_,wget_inflateInit2_,-0.0
1,ftruncate,ftruncate,curl_ftruncate,wget_ftruncate,-0.0
1,strtok,strtok,curl_strtok,wget_strtok,-0.0
1,inflate,inflate,curl_inflate,wget_inflate,-0.0
1,ftruncate,ftruncate,curl_ftruncate,wget_ftruncate,-0.0
1,freopen,freopen,curl_freopen,wget_freopen,-0.0
1,freopen,freopen,curl_freopen,wget_freopen,-0.0
1,inflate,inflate,curl_inflate,wget_inflate,-0.0
1,getc,getc,curl_getc,wget_getc,-0.0
1,ftruncate,ftruncate,curl_ftruncate,wget_ftruncate,-0.0
