label,stem_a,stem_b,func_a,func_b,gmn_score
1,sub_40f4d1,sub_40f4d1,gzip_sub_40f4d1,tar_sub_40f4d1,-2.0820178985595703
1,sub_40eed5,sub_40eed5,gzip_sub_40eed5,tar_sub_40eed5,-2.0882701873779297
1,read_error,read_error,gzip_read_error,tar_read_error,-1.5217398405075073
1,sub_410520,sub_410520,gzip_sub_410520,tar_sub_410520,-2.0260283946990967
1,sub_410ba0,sub_410ba0,gzip_sub_410ba0,tar_sub_410ba0,-1.6188201904296875
1,sub_40f2ad,sub_40f2ad,gzip_sub_40f2ad,tar_sub_40f2ad,-1.430692195892334
1,write_error,write_error,gzip_write_error,tar_write_error,-1.8299884796142578
1,savedir,savedir,gzip_savedir,tar_savedir,-0.8463321328163147
1,streamsavedir,streamsavedir,gzip_streamsavedir,tar_streamsavedir,-1.0303303476445389e-16
1,direntry_cmp_name,direntry_cmp_name,gzip_direntry_cmp_name,tar_direntry_cmp_name,-0.0
1,opendir_safer,opendir_safer,gzip_opendir_safer,tar_opendir_safer,-0.0
1,unlinkat,unlinkat,gzip_unlinkat,tar_unlinkat,-0.0
0,sub_403220,strlen,gzip_sub_403220,tar_strlen,-1.8202673196792603
0,sub_406b27,sub_43db12,gzip_sub_406b27,tar_sub_43db12,-0.4608467221260071
0,sub_411790,sub_4436fe,gzip_sub_411790,tar_sub_4436fe,-0.003133248770609498
0,sub_40e78b,sub_44b4b7,gzip_sub_40e78b,tar_sub_44b4b7,-2.315237522125244
0,sub_403e34,sub_4337fe,gzip_sub_403e34,tar_sub_4337fe,-2.012516975402832
0,sub_403dd6,sub_41eba3,gzip_sub_403dd6,tar_sub_41eba3,-0.3741832971572876
0,strlen,tar_stat_init,gzip_strlen,tar_tar_stat_init,-2.1922452449798584
0,fillbuf,xirealloc,gzip_fillbuf,tar_xirealloc,-1.3066697120666504
0,sub_40e8ef,sub_4421f4,gzip_sub_40e8ef,tar_sub_4421f4,-1.9856741428375244
0,localtime,imaxtostr,gzip_localtime,tar_imaxtostr,-6.528909683227539
0,sub_410608,sub_41c6e5,gzip_sub_410608,tar_sub_41c6e5,-0.0291054118424654
0,sub_411cbb,sub_41ff43,gzip_sub_411cbb,tar_sub_41ff43,-5.112391471862793
0,sub_406b27,sub_4114ed,gzip_sub_406b27,tar_sub_4114ed,-0.0024770284071564674
0,sub_40e841,sub_42e4bf,gzip_sub_40e841,tar_sub_42e4bf,-1.601076602935791
0,check_zipfile,sub_41e1e1,gzip_check_zipfile,tar_sub_41e1e1,-0.22344958782196045
0,sub_410f42,x_obstack_grow,gzip_sub_410f42,tar_x_obstack_grow,-1.2996679544448853
0,sub_40e955,sub_42f3ff,gzip_sub_40e955,tar_sub_42f3ff,-4.5229604438645765e-05
0,sub_412408,sys_file_is_archive,gzip_sub_412408,tar_sys_file_is_archive,-2.204026222229004
0,sub_403220,sub_42a671,gzip_sub_403220,tar_sub_42a671,-2.190613269805908
